Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,con,lab,ld,ukip,grn,dup,sf,sdlp,snp,pc,other,con_pc,lab_pc,ld_pc,ukip_pc,grn_pc,dup_pc,sf_pc,sdlp_pc,snp_pc,pc_pc,other_pc,geo,winner
1.0,Aberavon,Wales,2010.0,50838.0,30958,4411.0,16073.0,5034.0,489.0,0.0,0.0,0.0,0.0,0.0,2198.0,2753.0,0.142483364558434,0.5191872860003877,0.16260740357904258,0.015795594030622133,0.0,0.0,0.0,0.0,0.0,0.0709994185670909,0.08892693326442276,Wales,lab
2.0,Aberconwy,Wales,2010.0,44593.0,29966,10734.0,7336.0,5786.0,632.0,0.0,0.0,0.0,0.0,0.0,5341.0,137.0,0.35820596676233063,0.24481078555696456,0.1930854968964827,0.021090569311886805,0.0,0.0,0.0,0.0,0.0,0.1782353333778282,0.004571848094507108,Wales,con
3.0,Aberdeen North,Scotland,2010.0,64808.0,37701,4666.0,16746.0,7001.0,0.0,0.0,0.0,0.0,0.0,8385.0,0.0,903.0,0.12376329540330495,0.4441791994907297,0.18569799209570037,0.0,0.0,0.0,0.0,0.0,0.22240789368982256,0.0,0.02395161932044243,Scotland,lab
4.0,Aberdeen South,Scotland,2010.0,64031.0,43034,8914.0,15722.0,12216.0,0.0,413.0,0.0,0.0,0.0,5102.0,0.0,667.0,0.20713854161825535,0.3653390342519868,0.2838685690384347,0.0,0.009597062787563322,0.0,0.0,0.0,0.11855741971464423,0.0,0.015499372589115584,Scotland,lab
5.0,Aberdeenshire West & Kincardine,Scotland,2010.0,66110.0,45195,13678.0,6159.0,17362.0,397.0,0.0,0.0,0.0,0.0,7086.0,0.0,513.0,0.30264409779842905,0.13627613674078992,0.38415753955083526,0.008784157539550835,0.0,0.0,0.0,0.0,0.15678725522734815,0.0,0.011350813143046798,Scotland,ld
6.0,Airdrie & Shotts,Scotland,2010.0,62364.0,35849,3133.0,20849.0,2898.0,0.0,0.0,0.0,0.0,0.0,8441.0,0.0,528.0,0.08739434851739239,0.581578286702558,0.0808390750090658,0.0,0.0,0.0,0.0,0.0,0.2354598454629139,0.0,0.01472844430806996,Scotland,lab
7.0,Aldershot,South East,2010.0,71465.0,45384,21203.0,5489.0,15617.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,1034.0,0.4671910805570245,0.12094570773841001,0.3441080557024502,0.04497179622774546,0.0,0.0,0.0,0.0,0.0,0.0,0.02278335977436982,England_not_london,con
8.0,Aldridge-Brownhills,West Midlands,2010.0,58909.0,38634,22913.0,7647.0,6833.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,394.0,0.5930786353988715,0.19793446187296165,0.1768649376197132,0.0,0.021923694155407153,0.0,0.0,0.0,0.0,0.0,0.01019827095304654,England_not_london,con
9.0,Altrincham & Sale West,North West,2010.0,72208.0,49393,24176.0,11073.0,12581.0,1563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894620695240216,0.22418156418925758,0.2547122061830624,0.03164416010365841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England_not_london,con
10.0,Alyn & Deeside,Wales,2010.0,60931.0,39923,12885.0,15804.0,7308.0,1009.0,0.0,0.0,0.0,0.0,0.0,1549.0,1368.0,0.3227462866017083,0.3958620344162513,0.18305237582346015,0.025273651779675877,0.0,0.0,0.0,0.0,0.0,0.03879968940209904,0.03426596197680535,Wales,lab
